date,headline,category,sentiment
2023-12-27,Why cement prices are high despite surplus production,General,Negative
2023-12-27,Empowerment drive to benefit small enterprises,General,Neutral
2023-12-25,Tanzania gets nod to expand spectrum for faster internet,General,Neutral
2023-12-19,Tanzania crafting policies for young innovators,General,Neutral
2023-12-19,"Samia pledges action on ETS, dollar woes, power",General,Neutral
2023-12-11,World Bank acts on abuse claims in Tanzania park project,General,Neutral
2023-12-11,Empowering Indigenous Communities for Collaborative Prosperity amid COP28 Discussions,General,Neutral
2023-12-06,Airtel Africa calls for stronger public-private collaboration at COP28,General,Neutral
2023-11-30,LuckyDodo unveils AI-poweredbusinessintelligence in Tanzania,General,Neutral
2023-11-27,"New digital app to ease vehicle servicing, repair",General,Neutral
2023-11-27,"NMB named biggest, most compliant taxpayer",General,Neutral
2023-11-23,Businessanalysts urged to embrace emerging technologies,General,Neutral
2023-11-20,"Innovation, research set to benefit from Sh9 billion state funding",General,Neutral
2023-11-17,Facebook advertisers in Tanzania to start paying 18 percent VAT,General,Neutral
2023-11-15,Tanzania’s statistics master plan receives $82 million boost,General,Neutral
2023-11-14,Kenya’s loans 60pc more expensive than Tanzania,General,Negative
2023-11-12,Areas to grow East Africa’s digital economy identified,General,Neutral
2023-11-08,Obstacles as entrepreneurs explore digital economy,General,Neutral
2023-11-06,Investors decry costs of standards approval,General,Negative
2023-10-26,How digital transformation is reshaping education financing at HESLB,General,Neutral
2023-10-23,Extractive sector’s role in tackling climate change,General,Neutral
2023-10-19,Food vendors' digital registration underway,General,Neutral
2023-10-17,Private health providers in Dar es Salaam complain of delayed NHIF payments,General,Negative
2023-10-16,Global recovery revs up domestic manufacturing,General,Positive
2023-10-14,Tanzania's first locally-assembled aircraft unveiled,General,Neutral
2023-10-10,Tanzania takes a step closer to oil discovery,General,Neutral
2023-10-09,Tanzania now focuses on geophysical research,General,Neutral
2023-10-02,How local content can stem illicit financial flows,General,Neutral
2023-09-29,Tanzania mining practices impress Ugandan experts,General,Neutral
2023-09-25,Tanzania to construct Sh18 billion information centre to promote tourism in southern circuit,General,Neutral
2023-09-17,"Mercedes-Benz, CFAO Motors pledge to acceleratebusinessefficiency in Tanzania",General,Neutral
2023-09-17,Tanzania ready to embrace smart cities technologies,General,Neutral
2023-08-31,Businessback on track as MCL rebounds from fire scare,General,Positive
2023-08-29,"Negotiate investment disputes out of court, says TLS President",General,Neutral
2023-08-23,Why startup owners fail to commercialise operations,General,Neutral
2023-08-14,Government injects Sh600 million into renovation of Moshi market,General,Neutral
2023-08-12,Sh40 billion Watumishi Housing Investments project to address housing challenges,General,Neutral
2023-08-11,How $24 million project can create horticulture millionaires,General,Neutral
2023-08-10,Firms ‘require $747m to clear outstanding fuel payments’,General,Negative
2023-07-22,Why private sector’s investment in pharmaceutical industry is crucial,General,Neutral
2023-07-19,Tanzania’s strategy to reduce unemployment,General,Neutral
2023-07-19,Why some regions lag behind in financial inclusion,General,Neutral
2023-07-16,How Tanzania can boost local content development,General,Neutral
2023-07-10,DSE turnover down despite improvement in key indices,General,Negative
2023-07-07,The East Africa Commercial and Logistics Center Limited to open next year,General,Neutral
2023-07-07,Whybusinessis booming in Namanga,General,Positive
2023-07-05,Why DSE trading fell sharply in first half of 2023,General,Negative
2023-07-04,Government warns against fertiliser smuggling,General,Neutral
2023-07-03,Why digital transformation is crucial for food processors and packagers,General,Neutral
2023-06-22,Stakeholders commend government plans to launch startup policy,General,Neutral
2023-06-22,Benefits and challenges of Vicoba,General,Neutral
2023-06-22,How new $300 million glass factory will save Tanzania billions,General,Positive
2023-06-20,How effective use of EFD and rolling out of ETS has boosted revenue collection,General,Positive
2023-06-20,"Government to release 10-year ICT plan, says Nape Nnauye",General,Neutral
2023-06-19,Tanzania path to a strong digital backbone,General,Neutral
2023-06-18,How Tanzania can play leading role in fourth industrial revolution,General,Neutral
2023-06-16,How this budget embraces digital technologies,General,Neutral
2023-06-15,Bridging the digital divide to empower rural Tanzania,General,Neutral
2023-06-01,"New system simplifies drone importation, registration",General,Neutral
2023-05-30,"MCL, Institute of Directors in Tanzania enter RWI partnership",General,Neutral
2023-05-29,Expert: Climate change offers opportunities to private sector,General,Neutral
2023-05-23,Why aviation soared in the first 10 months of 2022/23,General,Neutral
2023-05-19,How Tanzania plans to benefit from carbon creditbusiness,General,Positive
2023-05-17,French connection to help local start-ups tick,General,Neutral
2023-05-17,Sh1.67 trillion education budget to focus on five key areas,General,Neutral
2023-05-15,Kariakoo traders go on strike over levies,General,Negative
2023-05-06,Tanzania government defends Tanga Cement acquisition,General,Neutral
2023-05-05,Why trillions in investment will deliver positive results,General,Positive
2023-04-24,Tanzania third fastest growing economy in Africa,General,Positive
2023-04-20,Tanzania's tourism earnings rebound beyond pre-pandemic,General,Positive
2023-04-17,Why East Africa could become Africa's economic giant,General,Neutral
2023-04-16,Tanzania to overtake Kenya as largest economy in 10 years,General,Positive
2023-04-13,Arusha airport undergoes Sh6.3 billion expansion,General,Neutral
2023-04-08,CAG report reveals social security fund loss-making buildings,General,Negative
2023-04-07,Who inflated Air Tanzania’s cargo plane invoice?,General,Neutral
2023-04-04,SBT assures consumers of adequate sugar supply,General,Neutral
2023-04-01,Tanzanians are not aware of gold value addition: Research,General,Neutral
2023-03-29,Bus operators breathe sigh of relief as makers open local office in Dar,General,Neutral
2023-03-27,War on fake seeds gets fresh impetus,General,Neutral
2023-03-27,Why Tanzania is lagging behind in startup funding,General,Negative
2023-03-26,How Tanzania spent Sh20 trillion in 2 years on projects,General,Neutral
2023-03-25,300 food vendors get a short in the arm from Coca-Cola and Oryx Gas.,General,Positive
2023-03-24,A pan-Africanist talks about Tanzania’s economic potential,General,Neutral
2023-03-23,How Tanzania can mitigate effects of global upheavals,General,Neutral
2023-03-22,IFC chief: How to promote PPP and financial inclusion,General,Neutral
2023-03-16,How Samia’s economic diplomacy has borne fruit in just two years,General,Positive
2023-03-14,Applause as President Samia expedites strategic projects,General,Positive
2023-03-13,A pro-businessapproach that has worked wonders,General,Positive
2023-03-07,Why cash crunch is now a distant memory,General,Positive
2023-03-02,Tanzania to shift to new e-procurement,General,Neutral
2023-03-01,Tanzania and Switzerland launch chamber of commerce,General,Neutral
2023-02-28,Why Mtwara misses revenue targets,General,Negative
2023-02-27,CEOs offer proposals to spur SME growth,General,Neutral
2023-02-25,How the EU’s Sh1.4 trillion support will be spent by three Tanzanian banks,General,Neutral
2023-02-24,"Tanzania, France sign new pact to boost air links",General,Neutral
2023-02-20,Key factors behind sharp rise in cement use in Tanzania,General,Neutral
2023-02-20,What new mortgage proposition means,General,Neutral
2023-02-17,Company launches training fund for solar airship pilots in Tanzania,General,Neutral
2023-02-17,Revealed: Key sources driving rise of Tanzania's tourism,General,Neutral
2023-02-15,How Tanzania can attain new development levels,General,Neutral
2023-02-15,Tanzania floats East Africa’s largest ship,General,Neutral
2023-02-10,The real reasons for rising inflation,General,Negative
2023-02-01,Mo Dewji cements position as East Africa's top billionaire,General,Positive
2023-01-31,Tanzania among top economies in 2023,General,Neutral
2023-01-24,Manufacturers seek Parliament's intervention in tax stamps rates,General,Neutral
2023-01-20,Transporters optimistic about growth,General,Neutral
2023-01-18,"Initiatives to enhance trade on the way, says India’s envoy",General,Neutral
2023-01-17,RC Abbas touts Exim Bank in Tanzania-Commoros businesses,General,Neutral
2023-01-17,"Light at the end of tunnel for Liganga, Mchuchuma projects",General,Neutral
2023-01-16,Bolt:Businessgrowing despite challenges,General,Positive
2023-01-15,Why honeymoon is over for Arusha Mineral Centre,General,Negative
2023-01-13,Winners and losers as DSE stocks fall,General,Negative
2023-01-11,Lorry owners aggrieved at new advance tax law,General,Negative
2023-01-09,Gold miners hit with shortage of refining chemicals,General,Negative
2023-01-07,Tanzania's Tourism sector set for record numbers,General,Positive
2023-01-06,Businesscommunity expresses cautious optimism about 2023,General,Neutral
2023-01-06,Government vows to address obstacles impending forest-related trade,General,Neutral
2023-01-06,Local timber industry all set for major boost,General,Positive
2023-01-04,Kenya Airways shares suspension extended for another year,General,Negative
2023-01-04,Struggling Jatu Plc turns to Dutch consultant,General,Negative
2023-01-04,How coal drove Tanzania exports in 2022,General,Positive
2023-01-02,Why experts are upbeat on Tanzania's 2023 economic prospects,General,Positive
2023-01-02,TRA hits record monthly collection since 1996,General,Positive
2022-12-30,How Samia drove economic diplomacy agenda in 2022,General,Neutral
2022-12-28,Housing supply remains a tall order as demand grows,General,Negative
2022-12-27,"Tanzania among Africa's most innovative nations, says global body",General,Positive
2022-12-25,Christmas festivities in the face of spiraling inflation,General,Negative
2022-12-19,How World Cup finals sent Tanzania's meat exports soaring,General,Positive
2022-12-17,Williamson Diamond Sh1 billion fine sparks debate among stakeholders,General,Negative
2022-12-16,What future has in store for local startups,General,Neutral
2022-12-16,Tanzania to start using fare meter for taxis,General,Neutral
2022-12-13,"Tap heritage resources, AWHF urges Tanzania",General,Neutral
2022-12-13,TRA to start taxing small traders in Kariakoo,General,Neutral
2022-12-09,Tanzania to gain from $350 million in climate change funding,General,Positive
2022-12-09,Tanzania among best investments destinations in Africa,General,Positive
2022-12-09,Billionaires on the back foot in 2022 - UBS,General,Negative
2022-12-08,African Startup League launches challenge to empower young entrepreneurs,General,Neutral
2022-12-06,Tanzania targets upper middle-income status by 2050,General,Neutral
2022-11-30,How UK’s post-Brexit trade setup can benefit Tanzania,General,Neutral
2022-11-29,TBS set to come up with new food import guidelines,General,Neutral
2022-11-25,Potential of SMEs in empowering the women,General,Neutral
2022-11-24,How Tanzania can avoid the pitfalls inherent in SMEs concepts,General,Neutral
2022-11-22,Want to gauge SMEs sucess? Take a look at small industries,General,Neutral
2022-11-22,How Sukuk can pull more retail investors into Tanzania financial market,General,Neutral
2022-11-21,The game-changing role of SMEs in Tanzania’s economy,General,Neutral
2022-11-18,"Manufacturers up ETS pressure, TRA responds",General,Neutral
2022-11-17,How fast internet adoption could propel Tanzania’s economic growth,General,Neutral
2022-11-17,NHC brings back joint venture policy,General,Neutral
2022-11-16,TRA no longer using task forces to collect revenues,General,Neutral
2022-11-14,Samia visit ‘unlocked $150 million China avocado market’,General,Positive
2022-11-09,MPs suggest how to boost growth of economy to 7 percent,General,Neutral
2022-11-04,"Parliament team tells government to act on iron, coal projects",General,Neutral
2022-11-02,Why these 11 regions may matter to yourbusiness,General,Neutral
2022-10-31,Samia: How Dodoma Sh630 billion airport will uplift the countryside,General,Neutral
2022-10-30,Why key supermarkets quit Tanzania,General,Negative
2022-10-29,Over 900 young food vendors boosted by Coca-Cola Kwanza,General,Positive
2022-10-27,Is your company adequately capitalised?,General,Neutral
2022-10-26,TCRA: Digital economy growth on track as internet use expands,General,Neutral
2022-10-24,What EU's type C charger rule means for Tanzania,General,Neutral
2022-10-21,What the regions' diverse growth rate mean,General,Neutral
2022-10-19,Game Stores to shut down 14 outlets in East Africa,General,Negative
2022-10-18,Five firms fined Sh21 billion over Swala takeover,General,Neutral
2022-10-17,Why DSE turnover has fallen 65.5 percent,General,Negative
2022-10-12,Government reaffirms commitment to increase users of internet,General,Neutral
2022-10-10,Beverage manufacturer to empower 900 young food vendors,General,Neutral
2022-10-10,Why Sh137 billion Tanga Cement acquisition attempt flopped,General,Negative
2022-10-04,How weak financial data costs East Africa billions in lost FDI,General,Negative
2022-10-03,Businessintegration key in East Africa: AmCham chief,General,Neutral
2022-09-29,Tanzania launches Africa’s first $300 million smart economic zone,General,Positive
2022-09-28,Experts upbeat on economic growth amid global concerns,General,Neutral
2022-09-26,Why internet speeds in Tanzania still lag behind,General,Negative
2022-09-21,Winners and losers as government finally acts on levies outcry,General,Neutral
2022-09-19,Investors: This is what’s impeding reform blueprint,General,Negative
2022-09-17,The $1.6 billion real estate project in Zanzibar lies in limbo,General,Negative
2022-09-15,Optimism as government meets with mobile operators over levies,General,Neutral
2022-09-13,Experts: Why mortgage market growth is slow,General,Neutral
2022-09-09,Beverage manufacturer equips 360 food vendors,General,Neutral
2022-09-06,"Expandbusinesshorizons, private sector challenged",General,Neutral
2022-09-05,"ETS, Illicit alcohol costs Tanzania billions",General,Negative
2022-09-04,Issues affecting real estate sector in Tanzania,General,Neutral
2022-08-30,Government launches “Silicon Zanzibar” initiative with Wasoko,General,Neutral
2022-08-27,Impact of levies on cashless economy,General,Neutral
2022-08-27,Making finance work for the agriculture sector,General,Neutral
2022-08-26,"Cost of living: Study shows 68 percent ‘unhappy’, government reacts",General,Negative
2022-08-25,Mixed views as new fees on electronic transactions bite,General,Negative
2022-08-19,"US, Kenya top Tanzania's source of tourists",General,Neutral
2022-08-18,Post-Covid restart offers African airlines a new chance,General,Neutral
2022-08-18,Bolt drivers ask government to intervene,General,Neutral
2022-08-18,It's a high speed race as telcos show interest in deploying 5G,General,Neutral
2022-08-17,Young street vendors get abusinessboost from Coca-Cola,General,Neutral
2022-08-17,Internet closer to reaching Mount Kilimanjaro peak,General,Neutral
2022-08-15,470 Tanzanite miners lose permits over Sh700 million unpaid dues,General,Neutral
2022-08-09,Huge relief as Samia launches fertiliser subsidy programme,General,Positive
2022-08-08,How Samia is opening up Mbeya economically,General,Neutral
2022-07-30,Tanzania eyes Dubai diamond market,General,Neutral
2022-07-28,"Gaming revenue increasing, board discloses",General,Neutral
2022-07-28,"Tanzania, World Bank launch renewed drive to make Dar greener",General,Neutral
2022-07-27,Tanzania must do more to exploit its huge tourism potential: IFC,General,Neutral
2022-07-27,How Sh580 billion fund will benefit women’s SMEs,General,Neutral
2022-07-27,"Give traders relief, local councils urged",General,Neutral
2022-07-24,How education sector benefited from Sh304 billion Covid relief fund,General,Neutral
2022-07-23,Construction of Arusha - Holili road to cost Sh920 billion,General,Neutral
2022-07-22,Recovery beckons as East African leaders meet in Arusha,General,Neutral
2022-07-20,Stakeholders call for review on fees for threshold for notification to FCC Act amendment,General,Neutral
2022-07-19,Tanzania's economic diplomacy starts to yield dividends,General,Positive
2022-07-19,$50 million road for launch as Arusha readies for EAC summit,General,Neutral
2022-07-18,How Tanzania can save billions of shillings with inclusive insurance,General,Neutral
2022-07-16,Two global ground handling firms reach acquisition agreement,General,Neutral
2022-07-15,"EXCLUSIVE: How Tanzania can transform Africa’s economy, food security",General,Neutral
2022-07-04,How to ramp up LPGbusinessin Tanzania,General,Neutral
2022-07-02,TRA collects record Sh22 trillion in 2021\22,General,Positive
2022-06-30,Report lists bottlenecks preventing SMEs growth in Tanzania,General,Neutral
2022-06-28,"Sh3.2 trillion invested in Zanzibar in 18 months, says Mwinyi",General,Positive
2022-06-26,TCAA issues stern warning to Dnata,General,Neutral
2022-06-25,How e-stamps changed TRA’s revenue collection,General,Neutral
2022-06-21,What $2 billion IPO of South African firm means in Tanzania,General,Neutral
2022-06-19,Why aiding Tanzania innovators can help tackle challenges,General,Neutral
2022-06-15,Tanzania and Italy sign loan to finance education programmes,General,Neutral
2022-06-14,High cost of living in the spotlight as government unveils 2022/23 Budget,General,Neutral
2022-06-13,Funguo opens its first application window for grant funding,General,Neutral
2022-06-09,Manufacturers want budget that will speed up recovery,General,Neutral
2022-06-01,"TBL, Vodacom now use blockchain to empower farmers",General,Neutral
2022-05-29,Controversy as UK firm seeks to revive exploration work in Tanzania,General,Neutral
2022-05-28,"Brela threatens to revoke registration of 5,000 dormant firms",General,Negative
2022-05-28,"NMG, TBL in new deal to mitigate climate change",General,Neutral
2022-05-27,Why government should lift suspension on ICDs,General,Neutral
2022-05-12,Bloomberg to coach over 50 journalists on financial reporting in Tanzania,General,Neutral
2022-05-12,"How EU support created 150,000 jobs in Tanzania",General,Positive
2022-05-12,Tourism stakeholders urge tech adoption to unlock potential,General,Neutral
2022-05-09,Five firms’ profits point to recovery from Covid,General,Positive
2022-05-08,What extension of loans to technical education means,General,Neutral
2022-05-01,Tanzania private sector welcomes regional e-commerce strategy,General,Neutral
2022-04-28,Report ranks Tanzania 7th in number of dollar millionaires in Africa,General,Positive
2022-04-27,African airlines sustain high passenger growth as more states end covid curbs,General,Neutral
2022-04-20,Court orders Eden Tanzania to pay TBL Sh607 million,General,Neutral
2022-04-18,‘China and Tanzania will work together on more model projects’,General,Neutral
2022-04-17,Magufuli Bus Terminal: Of low revenue amid huge potential,General,Neutral
2022-04-15,President Samia places bet on private sector technocrats to turnaround beleaguered MSD,General,Neutral
2022-04-14,Unyiha to pay Yara Tanzania Sh476m for breach of contract,General,Neutral
2022-04-05,Uganda overtakes Tanzania as most profitable regional unit for DTB Group,General,Neutral
2022-04-05,TRA sets 15-year collection record as target now within reach,General,Positive
2022-04-03,Why critical minerals are vital to Tanzania,General,Neutral
2022-03-31,EU investors laud moves to improvebusinessclimate in Tanzania,General,Positive
2022-03-28,Tanzania moves to shield itself from Ukraine war fallout,General,Neutral
2022-03-26,Ilunga Secondary School gets a shot in the arm from beverage manufacturer,General,Neutral
2022-03-23,Why manufacturers are sceptical about electronic tax stamps tender,General,Negative
2022-03-22,Investors now to obtain permits within Seven days,General,Positive
2022-03-19,A year of private sector reform,General,Neutral
2022-03-15,President Samia’s economic feat as she clocks one year in office,General,Neutral
2022-03-11,Tanzania registers projects worth Sh18.75 trillion in one year,General,Neutral
2022-03-08,SGA security scoops top award in mining sector,General,Neutral
2022-03-08,Rise in gold prices could be a blessing for Tanzania,General,Positive
2022-03-07,"TTCL, Huawei sign agreement to improve communication technology",General,Neutral
2022-03-07,Bright future for tourism and hospitality industry,General,Positive
2022-03-03,Dar es Salaam and Nairobi City Lodge Hotels up for sale,General,Neutral
2022-03-03,The difficult choice: Domestic versus foreign investment,General,Neutral
2022-03-03,Revealed: Why air tickets are expensive in East Africa,General,Negative
2022-03-02,How Tanzania can boost women’s economic role,General,Neutral
2022-02-28,Tanzania bags Sh17.3 trillion deals at Expo Dubai,General,Positive
2022-02-27,Samia in Dubai: Why Tanzania is first choice for investors,General,Positive
2022-02-24,Report lists factors attracting investors in Tanzania,General,Neutral
2022-02-22,How Tanzania can fully benefit from economic diplomacy,General,Neutral
2022-02-17,How Tanzania can benefit from EPAs,General,Neutral
2022-02-10,Localbusinesscaptains adopt climate change as a key agenda,General,Neutral
2022-02-01,How Currencies can Impact your Investments,General,Neutral
2022-02-01,DSTV to restore local channels as government backtracks on FTA rule,General,Neutral
2022-01-31,Top oil producers to meet as crude prices rise,General,Neutral
2022-01-29,How Nala plans to spend Sh23 billion funding,General,Neutral
2022-01-29,"How geothermal can boost tourism, farming, education",General,Neutral
2022-01-27,Should Tanzania introduce Google tax?,General,Neutral
2022-01-26,"Experts, traders propose market structures befitting petty traders",General,Neutral
2022-01-26,Linking digital advancements to economy,General,Neutral
2022-01-25,How Tanzania can harness true potential in the rising digital space,General,Neutral
2022-01-19,Inside Tanzania’s remittancebusiness,General,Neutral
2022-01-18,How continental trading platform can benefit you,General,Neutral
2022-01-10,Where investors reaped big in 2021,General,Neutral
2022-01-07,Number of Saccos drops in latest BoT registration,General,Neutral
2022-01-06,Tourism on the right track as earnings soar by 53 percent,General,Positive
2022-01-05,Brela extends the listing of firms’ beneficial owners,General,Neutral
2022-01-03,Dar bourse ‘all set for rebound’ after festive season slowdown,General,Neutral
2022-01-03,Experts predict what’s in store for Tanzania economically in 2022,General,Neutral
2022-01-02,How brewer SBL supported economic development in Tanzania in 2021,General,Neutral
2024-12-30,E-commerce set to thrive,General,Neutral
2024-12-25,TBS: Product certification key to sustainable business,General,Neutral
2024-12-24,"Expert insights on Tanzania’s personal, business income tax systems",General,Neutral
2024-12-19,‘Fitch B+ rating reflects  economic strength’,General,Positive
2024-12-17,Shivo Towers: A game-changer for Zanzibar’s property market,General,Neutral
2024-12-17,Fitch affirms Tanzania at ‘B+’ with stable outlook,General,Neutral
